strain	species	species_match	contig_count	N50	largest_contig	total_size	ambiguous_bases	QC_warnings	ST	Antibiotic	Resistance.phenotype	Measurement.sign	Measurement	Measurement.units	Laboratory.Typing.Method	Testing.standard	Testing.standard.year.or.version	Laboratory.Typing.Platform	Vendor	Laboratory.Typing.Method.Version.or.Reagent	index	Greater	Measurement.Round	Flq_mutations
718967-2Mo2-18	Klebsiella pneumoniae	strong	147	94322	256882	5373714	no	-	ST3419	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
719765-18	Klebsiella pneumoniae	strong	90	289471	661633	5332784	no	-	ST152	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
800187-17	Klebsiella pneumoniae	strong	81	325425	468088	5216154	no	-	ST17	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	4	4	-
800281-18	Klebsiella pneumoniae	strong	172	245778	481047	5546675	no	-	ST967	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
800483-17	Klebsiella pneumoniae	strong	91	264851	470180	5384455	no	-	ST45	ciprofloxacin	resistant	=	0.75	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	0.75	0.75	-
801562-19	Klebsiella pneumoniae	strong	97	270129	444711	5390136	no	-	ST14	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2019	Vitek			Egli_MIC	2	2	-
801578-18	Klebsiella pneumoniae	strong	95	240421	480472	5321173	no	-	ST45	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
802458-18	Klebsiella pneumoniae	strong	113	270129	484354	5351279	no	-	ST14	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
802808-18	Klebsiella pneumoniae	strong	228	117038	311024	5480968	no	-	ST2459	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
802828-17	Klebsiella pneumoniae	strong	111	226070	455795	5381685	no	-	ST14	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	2	2	-
802922-18	Klebsiella pneumoniae	strong	147	294894	816109	5767169	no	-	ST1239	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
803094-19	Klebsiella pneumoniae	strong	59	397985	902462	5424068	no	-	ST2004	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2019	Vitek			Egli_MIC	2	2	-
803471-18	Klebsiella pneumoniae	strong	91	266855	487560	5348342	no	-	ST152	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
803563-17	Klebsiella pneumoniae	strong	51	392218	972783	5328613	no	-	ST985	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	2	2	-
804370-17	Klebsiella pneumoniae	strong	106	237228	829966	5493054	no	-	ST471	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	1	1	-
804398-18	Klebsiella pneumoniae	strong	95	240421	480472	5315984	no	-	ST45	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	2	2	-
804537-19	Klebsiella pneumoniae	strong	105	473583	1021472	5561699	no	-	ST397	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2019	Vitek			Egli_MIC	1	1	-
804585-18	Klebsiella pneumoniae	strong	118	223507	359292	5573726	no	-	ST14	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
805155-17	Klebsiella pneumoniae	strong	88	244197	470167	5385292	no	-	ST45	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	1	1	-
805282-19	Klebsiella pneumoniae	strong	166	327605	609494	5670679	no	-	ST394	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST	2019	Vitek			Egli_MIC	4	4	-
805443-18	Klebsiella pneumoniae	strong	80	304182	464681	5307449	no	-	ST22-1LV	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
805592-18	Klebsiella pneumoniae	strong	100	205805	473612	5406068	no	-	ST37	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
805633-17	Klebsiella pneumoniae	strong	107	229331	484357	5388670	no	-	ST14	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	2	2	-
805666-18	Klebsiella pneumoniae	strong	187	264750	663598	5499477	no	-	ST2459	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	4	4	-
805771-18	Klebsiella pneumoniae	strong	109	228623	516588	5492074	no	-	ST429	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	4	4	-
806249-18	Klebsiella variicola subsp. variicola	strong	77	298048	782562	5681714	no	-	ST5520-2LV	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
806416-17	Klebsiella variicola subsp. variicola	strong	135	337298	627172	5888371	no	-	ST2006	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	4	4	-
806757-17	Klebsiella pneumoniae	strong	95	252159	771607	5513844	no	-	ST268	ciprofloxacin	resistant	>=	4	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	4	4	-
807556-18	Klebsiella variicola subsp. variicola	strong	173	173594	430698	5899562	no	-	ST2006	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
808005-18	Klebsiella pneumoniae	strong	119	171087	475216	5534412	no	-	ST1322	ciprofloxacin	resistant	=	1	mg/L	MIC (broth dilution)	EUCAST	2018	Vitek			Egli_MIC	1	1	-
808346-17	Klebsiella pneumoniae	strong	95	310255	480472	5327638	no	-	ST45	ciprofloxacin	resistant	=	2	mg/L	MIC (broth dilution)	EUCAST	2017	Vitek			Egli_MIC	2	2	-
SRR5385399	Klebsiella pneumoniae	strong	219	176378	494905	5696157	no	-	ST1444	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385422	Klebsiella pneumoniae	strong	98	241484	478879	5528386	no	-	ST462	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385486	Klebsiella pneumoniae	strong	109	273272	563633	5626163	no	-	ST405	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385502	Klebsiella pneumoniae	strong	284	100127	268473	5584388	no	-	ST20	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385506	Klebsiella pneumoniae	strong	112	340001	657953	5282765	no	-	ST1777	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385508	Klebsiella pneumoniae	strong	102	382019	854980	5625846	no	-	ST405	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385509	Klebsiella pneumoniae	strong	74	376790	733750	5374943	no	-	ST20	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385538	Klebsiella variicola subsp. variicola	strong	51	317940	586825	5500834	no	-	ST3980-1LV	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385668	Klebsiella pneumoniae	strong	103	227465	542957	5445883	no	-	ST462	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385670	Klebsiella pneumoniae	strong	82	249363	939843	5449651	no	-	ST462	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385673	Klebsiella pneumoniae	strong	80	248752	570448	5447614	no	-	ST462	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385674	Klebsiella pneumoniae	strong	85	249363	939844	5416353	no	-	ST462	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385677	Klebsiella pneumoniae	strong	198	310064	727711	5429653	no	-	ST323	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385691	Klebsiella pneumoniae	strong	98	241980	706146	5354427	no	-	ST111	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385695	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	136	106853	390724	5465587	no	-	ST476	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385701	Klebsiella pneumoniae	strong	104	314086	722463	5501759	no	-	ST628	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385709	Klebsiella pneumoniae	strong	94	249363	807576	5489199	no	-	ST462	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385710	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	160	170936	824719	5458399	no	-	ST476	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5385713	Klebsiella pneumoniae	strong	143	326244	1058062	5630202	no	-	ST111	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385714	Klebsiella pneumoniae	strong	123	214524	517422	5147264	no	-	ST551	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385725	Klebsiella pneumoniae	strong	96	324732	485209	5433586	no	-	ST219	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385728	Klebsiella pneumoniae	strong	56	446052	973885	5456828	no	-	ST985	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385739	Klebsiella pneumoniae	strong	118	268037	556256	5478801	no	-	ST753	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385741	Klebsiella pneumoniae	strong	96	222329	481996	5375915	no	-	ST869	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385743	Klebsiella pneumoniae	strong	105	188151	440234	5364410	no	-	ST1440	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385745	Klebsiella pneumoniae	strong	98	310472	1207164	5374832	no	-	ST1440	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385756	Klebsiella pneumoniae	strong	299	42495	194220	5472979	no	-	ST45	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385767	Klebsiella pneumoniae	strong	109	98901	214723	5345973	no	-	ST551-1LV	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385768	Klebsiella pneumoniae	strong	104	272866	482051	5453707	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385793	Klebsiella pneumoniae	strong	225	133782	420299	5903786	no	-	ST461	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5385796	Klebsiella pneumoniae	strong	94	280538	504484	5439992	no	-	ST261	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385798	Klebsiella pneumoniae	strong	125	135259	316658	5384356	no	-	ST1427	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385805	Klebsiella pneumoniae	strong	94	269229	906584	5345353	no	-	ST348	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385809	Klebsiella pneumoniae	strong	130	376931	722857	5569222	no	-	ST22	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385814	Klebsiella pneumoniae	strong	111	217758	467620	5455281	no	-	ST280	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5385816	Klebsiella pneumoniae	strong	111	222449	472660	5454377	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385821	Klebsiella pneumoniae	strong	97	105791	367713	5382375	no	-	ST628	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5385822	Klebsiella pneumoniae	strong	103	291827	472658	5443730	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385823	Klebsiella pneumoniae	strong	91	100956	272338	5385621	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385829	Klebsiella pneumoniae	strong	114	237054	691155	5493616	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385831	Klebsiella pneumoniae	strong	89	287899	691155	5319736	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385836	Klebsiella pneumoniae	strong	105	305743	456129	5451246	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385852	Klebsiella pneumoniae	strong	95	272037	407423	5551273	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385862	Klebsiella pneumoniae	strong	110	233549	407423	5541978	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385866	Klebsiella pneumoniae	strong	99	225704	407423	5512696	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385867	Klebsiella pneumoniae	strong	101	269082	407423	5513910	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385871	Klebsiella pneumoniae	strong	102	270676	407423	5512139	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385878	Klebsiella pneumoniae	strong	93	226331	775893	5522950	no	-	ST3578	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385879	Klebsiella pneumoniae	strong	108	197715	516111	5541116	no	-	ST45	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385920	Klebsiella pneumoniae	strong	121	223492	518974	5318884	no	-	ST36	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385958	Klebsiella pneumoniae	strong	139	159956	402967	5480910	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385962	Klebsiella pneumoniae	strong	137	181751	553599	5449401	no	-	ST187	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5385964	Klebsiella pneumoniae	strong	111	194540	360766	5445247	no	-	ST628	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5385970	Klebsiella pneumoniae	strong	76	161866	452217	5361642	no	-	ST36	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386001	Klebsiella pneumoniae	strong	143	158563	373808	5478513	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386033	Klebsiella quasipneumoniae subsp. similipneumoniae	strong	100	274947	635612	5460631	no	-	ST1887	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386038	Klebsiella pneumoniae	strong	135	159917	320912	5536694	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386040	Klebsiella pneumoniae	strong	58	284579	682286	5346456	no	-	ST1017	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386043	Klebsiella quasivariicola	strong	276	113599	731334	5753918	no	-	ST3899	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386046	Klebsiella quasivariicola	strong	323	113595	339418	5774389	no	-	ST3899	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386051	Klebsiella pneumoniae	strong	99	175042	355818	5407250	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386062	Klebsiella pneumoniae	strong	143	172298	324572	5555363	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386080	Klebsiella pneumoniae	strong	80	200698	622193	5377494	no	-	ST471	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386082	Klebsiella pneumoniae	strong	84	174740	369074	5458419	no	-	ST2703	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386084	Klebsiella pneumoniae	strong	83	172810	407040	5507363	no	-	ST25	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386086	Klebsiella pneumoniae	strong	169	203305	627535	5529131	no	-	ST22	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386099	Klebsiella pneumoniae	strong	62	292348	960524	5340877	no	-	ST17	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386100	Klebsiella pneumoniae	strong	93	232676	387661	5359990	no	-	ST1017	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386107	Klebsiella pneumoniae	strong	179	172347	401352	5552836	no	-	ST22	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386110	Klebsiella pneumoniae	strong	129	197018	397776	5488698	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386112	Klebsiella pneumoniae	strong	123	180518	380913	5388437	no	-	ST1427	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386114	Klebsiella pneumoniae	strong	128	195443	380913	5388059	no	-	ST1427	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386120	Klebsiella pneumoniae	strong	260	132905	376055	5547355	no	-	ST37	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386143	Klebsiella pneumoniae	strong	190	174197	638130	5451974	no	-	ST29	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386152	Klebsiella pneumoniae	strong	199	122511	341794	5845632	no	-	ST1694	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386160	Klebsiella pneumoniae	strong	127	219484	663195	5401252	no	-	ST551	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386171	Klebsiella pneumoniae	strong	152	108654	458326	5418742	no	-	ST3113	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386213	Klebsiella pneumoniae	strong	73	243257	581667	5491667	no	-	ST295	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386217	Klebsiella pneumoniae	strong	273	190495	338575	5511794	no	-	ST884	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386230	Klebsiella pneumoniae	strong	276	152053	348722	5520306	no	-	ST884	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386233	Klebsiella pneumoniae	strong	139	214446	408801	5467039	no	-	ST1296	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386249	Klebsiella pneumoniae	strong	57	236569	419700	5467077	no	-	ST295	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386267	Klebsiella pneumoniae	strong	184	112973	355508	5426771	no	-	ST1213	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386268	Klebsiella pneumoniae	strong	171	132290	709830	5435546	no	-	ST1213	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386297	Klebsiella pneumoniae	strong	271	152053	348725	5513852	no	-	ST884	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386314	Klebsiella pneumoniae	strong	261	152053	377620	5520392	no	-	ST884	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386315	Klebsiella pneumoniae	strong	61	170100	482231	5408554	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386376	Klebsiella pneumoniae	strong	103	157685	349435	5465081	no	-	ST2623	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386377	Klebsiella pneumoniae	strong	163	134814	388664	5400622	no	-	ST1823	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386386	Klebsiella pneumoniae	strong	118	248029	556498	5501466	no	-	ST76	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386461	Klebsiella pneumoniae	strong	89	309829	653358	5426576	no	-	ST716	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386475	Klebsiella pneumoniae	strong	102	272829	473741	5456986	no	-	ST280	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386477	Klebsiella pneumoniae	strong	89	275279	523744	5250673	no	-	ST791	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386481	Klebsiella pneumoniae	strong	132	138684	375985	5285562	no	-	ST36	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386487	Klebsiella pneumoniae	strong	152	241401	1165323	5506808	no	-	ST1107	ciprofloxacin	resistant		2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	2	2	-
SRR5386491	Klebsiella pneumoniae	strong	102	139192	347024	5535516	no	-	ST4097	ciprofloxacin	resistant		1	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	1	1	-
SRR5386495	Klebsiella pneumoniae	strong	133	115396	247937	5515666	no	-	ST45	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
SRR5386497	Klebsiella pneumoniae	strong	107	215867	516444	5453393	no	-	ST45	ciprofloxacin	resistant	>	2	mg/L	MIC (broth dilution)	CLSI	2017	Phoenix	Becton Dickinson		Long	4	4	-
